Scenario,Month,Illuminance(lux)
msp_102_2011_cellularLT, 07,362.79
msp_102_2011_cellularLT, 08,363.91
msp_102_2011_cellularLT, 09,342.62
msp_102_2011_cellularLT, 10,284.94
msp_102_2011_cellularLT, 11,191.69
msp_102_2011_cellularLT, 12,160.21
msp_102_2011_cellularLT-a, 01,222.69
msp_102_2011_cellularLT-a, 02,291.91
msp_102_2011_cellularLT-a, 03,329.08
msp_102_2011_cellularLT-a, 04,366.91
msp_102_2011_cellularLT-a, 05,368.09
msp_102_2011_cellularLT-a, 06,377.34
msp_102_2011_cellularLT-a, 07,362.79
msp_102_2011_cellularLT-a, 08,363.91
msp_102_2011_cellularLT-a, 09,342.62
msp_102_2011_cellularLT-a, 10,284.94
msp_102_2011_cellularLT-a, 11,191.69
msp_102_2011_cellularLT-a, 12,160.21
msp_102_BBG-VB-15_102, 01,1737.17
msp_102_BBG-VB-15_102, 02,1174.02
msp_102_BBG-VB-15_102, 03,1236.95
msp_102_BBG-VB-15_102, 04,750.85
msp_102_BBG-VB-15_102, 05,750.7
msp_102_BBG-VB-15_102, 06,759.63
msp_102_BBG-VB-15_102, 07,745.38
msp_102_BBG-VB-15_102, 08,795.59
msp_102_BBG-VB-15_102, 09,927.66
msp_102_BBG-VB-15_102, 10,1270.76
msp_102_BBG-VB-15_102, 11,985.47
msp_102_BBG-VB-15_102, 12,1509.25
msp_102_BBG-VB-15_2011, 01,1497.4
msp_102_BBG-VB-15_2011, 02,1002.85
msp_102_BBG-VB-15_2011, 03,1047.56
msp_102_BBG-VB-15_2011, 04,625.61
msp_102_BBG-VB-15_2011, 05,622.68
msp_102_BBG-VB-15_2011, 06,628.81
msp_102_BBG-VB-15_2011, 07,617.99
msp_102_BBG-VB-15_2011, 08,663.93
msp_102_BBG-VB-15_2011, 09,780.92
msp_102_BBG-VB-15_2011, 10,1081.02
msp_102_BBG-VB-15_2011, 11,848.31
msp_102_BBG-VB-15_2011, 12,1305.31
msp_102_BBG-VB-15_2011-a, 01,1497.4
msp_102_BBG-VB-15_2011-a, 02,1002.85
msp_102_BBG-VB-15_2011-a, 03,1047.56
msp_102_BBG-VB-15_2011-a, 04,625.61
msp_102_BBG-VB-15_2011-a, 05,622.68
msp_102_BBG-VB-15_2011-a, 06,628.81
msp_102_BBG-VB-15_2011-a, 07,617.99
msp_102_BBG-VB-15_2011-a, 08,663.93
msp_102_BBG-VB-15_2011-a, 09,780.92
